B	D	Depth	Discharge	H	Latitude	Longitude	Q	Rp	SedQ	SedQ_err	Slope	Type	Width	WidthControl
6.20202	0.16	0.6	10.6	0.368437	46.1606	-113.944	330.5	257488	nan	nan	0.02	1	10.1	2
4.4246	0.165	0.4	19	0.194488	46.5367	-114.159	548.541	269651	nan	nan	0.047	1	9.1	2
5.79372	0.215	0.8	6.8	0.586706	47.8847	-113.799	101.293	401083	nan	nan	0.01	1	7.9	2
6.76288	0.0241	0.6096	5.80495	0.476277	38.5872	-77.4289	20555.2	15052.3	nan	nan	0.002	1	8.656	1
8.22408	0.0503	0.762	32.2812	0.299715	36.7783	-80.2494	18163.3	45386.7	nan	nan	0.006	1	20.909	2
6.78145	0.0578	1.03632	37.0951	0.385568	38.4903	-77.4339	14745.6	55907.3	nan	nan	0.005	1	18.227	2
7.84011	0.0904	1.64592	197.652	0.313605	36.6194	-79.5044	25682.9	109353	nan	nan	0.004	1	41.148	2
4.98038	0.022	0.5	5.2	0.408228	39.6917	-78.1325	23126.6	13128.4	nan	nan	0.011	1	6.1	2
6.01107	0.029	0.2	0.2	0.601107	39.6633	-79.4283	445.862	19868.9	nan	nan	0.047	1	2	2
3.79906	0.044	0.5	7.2	0.358402	39.7006	-78.3161	5660.65	37132.6	nan	nan	0.013	1	5.3	2
6.66037	0.051	1.5	77.2	0.416273	39.6494	-78.3439	41962.1	46337.4	nan	nan	0.004	1	24	2
6.58736	0.084	1.6	76.9	0.444717	39.3017	-79.3067	12005.9	97948	nan	nan	0.003	1	23.7	2
8.67326	0.086	1	47.8	0.336173	39.7019	-79.1364	7036.35	101467	nan	nan	0.004	1	25.8	2
4.40732	0.111	0.3	1.1	0.45593	39.6817	-78.965	85.5561	148786	nan	nan	0.013	1	2.9	3
